Page URL,Hreflang,Issue Type,Discovered
https://theprofitplatform.com.au/[SEO](/blog/website-speed-optimization-how-sydney-businesses-can-improve-core-web-vitals/),,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/2025-10-04-7-google-ads-mistakes-costing-[Sydney](/blog/2025-10-04-7-google-ads-mistakes-costing-sydney-businesses-thousands-every-month-TEST/)-businesses-thousands-every-month-TEST/,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/2025-10-04-7-google-ads-mistakes-costing-sydney-businesses-thousands-every-month-TEST/,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/2025-10-04-how-to-optimise-your-google-business-profile-for-[Sydney](/blog/2025-10-04-how-to-optimise-your-google-business-profile-for-sydney-local-search-in-2025/)-local-search-in-2025/,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/2025-10-04-how-to-optimise-your-google-business-profile-for-sydney-local-search-in-2025/,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/2025-10-05-local-seo-checklist-47-steps-to-dominate-sydney-suburb-search-results/,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
"https://theprofitplatform.com.au/blog/?tag=""Case Study"", ""Local SEO"", ""Google Ads"", ""Parramatta"", ""Results""",,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=2025,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Ad Extensions,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Analytics,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Authority,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Automation,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=B2B,,No self-referencing hreflang,11 Oct 2025 (00:11 UTC)
https://theprofitplatform.com.au/blog/?tag=Backlinks,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Bidding Strategies,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=CMS,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=CRO,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=CTR,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Checklist,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Citations,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Content Strategy,,No self-referencing hreflang,11 Oct 2025 (00:11 UTC)
https://theprofitplatform.com.au/blog/?tag=Conversion,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Conversions,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Cost Optimization,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Cost Reduction,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Directory Listings,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Engagement,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Free Resources,,No self-referencing hreflang,05 Oct 2025 (03:42 UTC)
https://theprofitplatform.com.au/blog/?tag=Free Tools,,No self-referencing hreflang,11 Oct 2025 (00:11 UTC)
https://theprofitplatform.com.au/blog/?tag=Funnels,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=GA4,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Google Ads,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Google Analytics,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Google Business Profile,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Google Ranking,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Google Search Console,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Growth Strategy,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
