Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://theprofitplatform.com.au,"Digital Marketing Sydney | SEO, Google Ads & Web Design | The Profit Platform",94,0.009096514821492575,n/a,1,200,0.043,0,1,1,0,0,Self-canonical,0,29,29,5,0,2,0,8,59,25,"leading digital marketing agency in sydney. 247% average revenue increase. 127+ 5-star reviews. expert seo, google ads & web design. free $997 audit - only 5 spots left.",Google-Extended
https://theprofitplatform.com.au/,"Digital Marketing Sydney | SEO, Google Ads & Web Design | The Profit Platform",95,0.039234829173686,n/a,0,200,0.09,0,1,1,0,0,Self-canonical,1,148,28,5,0,2,0,8,59,26,"leading digital marketing agency in sydney. 247% average revenue increase. 127+ 5-star reviews. expert seo, google ads & web design. free $997 audit - only 5 spots left.",Google-Extended
https://theprofitplatform.com.au/[SEO](/blog/website-speed-optimization-how-sydney-businesses-can-improve-core-web-vitals/),"Digital Marketing Sydney | SEO, Google Ads & Web Design | The Profit Platform",15,0.0020343231205040765,n/a,3,200,0.041,0,1,1,0,0,Canonical to other page,0,2,29,5,0,2,1,8,59,26,"leading digital marketing agency in sydney. 247% average revenue increase. 127+ 5-star reviews. expert seo, google ads & web design. free $997 audit - only 5 spots left.",Google-Extended
https://theprofitplatform.com.au/about,,-,0.040052139640168634,n/a,1,308,0.024,0,0,0,0,0,-,0,149,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/about/,About Us | The Profit Platform,97,0.05718899877814463,n/a,1,200,0.044,0,1,1,0,0,Self-canonical,1,1,19,6,0,2,0,8,59,14,"founded in 2024, the profit platform delivers fresh digital marketing strategies to sydney businesses. meet our team and discover our values.",Google-Extended
https://theprofitplatform.com.au/blog,,-,0.040052139640168634,n/a,1,308,0.016,0,0,0,0,0,-,1,149,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog/,Blog | The Profit Platform,100,0.05950046743761783,n/a,1,200,0.089,0,1,1,0,0,Self-canonical,1,69,54,5,0,2,0,9,65,48,"digital marketing tips, strategies, and insights for sydney businesses.",Google-Extended
https://theprofitplatform.com.au/blog/15-free-digital-marketing-tools-sydney-business,,-,0.00511868057321686,n/a,2,308,0.01,0,0,0,0,0,-,0,70,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog/15-free-digital-marketing-tools-sydney-business/,15 Free Digital Marketing Tools Every Sydney Business Needs in 2025,77,0.007329885742246459,n/a,2,200,0.064,1,1,1,0,0,Self-canonical,1,1,39,21,0,2,0,8,61,35,"save thousands on marketing tools. this curated list of free tools covers seo, social media, design, analytics, and more for sydney businesses.",Google-Extended
https://theprofitplatform.com.au/blog/15-free-seo-tools-every-sydney-small-business-should-use-in-2025,,-,0.004998311097139736,n/a,2,308,0.014,0,0,0,0,0,-,0,69,1,0,0,-,-,0,0,0,-,Google-Extended
https://theprofitplatform.com.au/blog/15-free-seo-tools-every-sydney-small-business-should-use-in-2025/,15 Free SEO Tools Every Sydney Small Business Should Use in 2025 | The Profit Platform,75,0.00719669038519133,n/a,2,200,0.062,1,1,1,0,0,Self-canonical,1,1,40,11,0,2,0,8,61,31,discover 15 powerful free seo tools that sydney small businesses use to dominate google's first page and boost revenue by $50k+. get local seo strategies now!,Google-Extended
https://theprofitplatform.com.au/blog/2025-10-04-7-google-ads-mistakes-costing-[Sydney](/blog/2025-10-04-7-google-ads-mistakes-costing-sydney-businesses-thousands-every-month-TEST/)-businesses-thousands-every-month-TEST/,"Digital Marketing Sydney | SEO, Google Ads & Web Design | The Profit Platform",10,0.001950324941387492,n/a,3,200,0.045,0,1,1,0,0,Canonical to other page,0,1,29,5,0,2,1,8,59,28,"leading digital marketing agency in sydney. 247% average revenue increase. 127+ 5-star reviews. expert seo, google ads & web design. free $997 audit - only 5 spots left.",Google-Extended
https://theprofitplatform.com.au/blog/2025-10-04-7-google-ads-mistakes-costing-sydney-businesses-thousands-every-month-TEST/,"Digital Marketing Sydney | SEO, Google Ads & Web Design | The Profit Platform",20,0.0021296386855020077,n/a,3,200,0.048,0,1,1,0,0,Canonical to other page,0,3,29,5,0,2,1,8,59,26,"leading digital marketing agency in sydney. 247% average revenue increase. 127+ 5-star reviews. expert seo, google ads & web design. free $997 audit - only 5 spots left.",Google-Extended
https://theprofitplatform.com.au/blog/2025-10-04-how-to-optimise-your-google-business-profile-for-[Sydney](/blog/2025-10-04-how-to-optimise-your-google-business-profile-for-sydney-local-search-in-2025/)-local-search-in-2025/,"Digital Marketing Sydney | SEO, Google Ads & Web Design | The Profit Platform",6,0.0019483762417724295,n/a,3,200,0.043,0,1,1,0,0,Canonical to other page,0,1,29,5,0,2,1,8,59,28,"leading digital marketing agency in sydney. 247% average revenue increase. 127+ 5-star reviews. expert seo, google ads & web design. free $997 audit - only 5 spots left.",Google-Extended
https://theprofitplatform.com.au/blog/2025-10-04-how-to-optimise-your-google-business-profile-for-sydney-local-search-in-2025/,"Digital Marketing Sydney | SEO, Google Ads & Web Design | The Profit Platform",22,0.0024920320620451116,n/a,3,200,0.045,0,1,1,0,0,Canonical to other page,0,7,29,5,0,2,1,8,59,26,"leading digital marketing agency in sydney. 247% average revenue increase. 127+ 5-star reviews. expert seo, google ads & web design. free $997 audit - only 5 spots left.",Google-Extended
https://theprofitplatform.com.au/blog/2025-10-05-local-seo-checklist-47-steps-to-dominate-sydney-suburb-search-results/,"Digital Marketing Sydney | SEO, Google Ads & Web Design | The Profit Platform",16,0.002034725900974208,n/a,3,200,0.042,0,1,1,0,0,Canonical to other page,0,2,29,5,0,2,1,8,59,26,"leading digital marketing agency in sydney. 247% average revenue increase. 127+ 5-star reviews. expert seo, google ads & web design. free $997 audit - only 5 spots left.",Google-Extended
